Health Category,Evidence Category
"Beta-alanine","Primary"
"Creatine","Primary"
"Protein","Primary"
"Carbohydrates","Primary"
"Caffeine","Primary"
"BCAAs","Secondary"
"Citrulline","Secondary"
"Nitrates","Secondary"
"Sodium Bicarbonate","Secondary"
"Ashwagandha","Promising"
"Tart Cherry","Promising"
"Taurine","Promising"
"Alpha-GPC","Unproven"
"Betaine","Unproven"
"Capsaicin","Unproven"
"Fenugreek","Unproven"
"Glutamine","Unproven"
"HMB","Unproven"
"Maca","Unproven"
"Rhodiola Rosea","Unproven"
"Tribulus Terrestris","Inadvisable"
"Arginine","Inadvisable"
"Choline","Inadvisable"
"Panax Ginseng","Inadvisable"
