Supplement,Muscle Gain,Sleep
Alpha GPC,Unproven,
Arginine,Inadvisable,
Ashwagandha,Promising,Promising
BCAAs,Secondary,
Beta-alanine,Primary,
Betaine,Unproven,
Caffeine,Primary,Inadvisable
Capsaicin,Unproven,
Carbohydrates,Primary,
Choline,Inadvisablle,
Citrulline,Secondary,
Creatine,Primary,
Fenugreek,Unproven,
Glutamine,Unproven,
Glycine,,Unproven
HMB,Unproven,
L-Theanine,,Unproven
Lavender,,Secondary
Lemon Verbena,,Unproven
Maca,Unproven,
Magnesium,,Unproven
Melatonin,,Secondary
Melissa officinalis,,Promising
Nitrates,Secondary,
Panax ginseng,Inadvisable,
Phosphatidic acid,Inadvisable,
Protein,Primary,
Rhodiola Rosea,Unproven,
Sodium Bicarbonate,Secondary,
Tart cherry,Promising,
Taurine,Promising,
Tribulus Terrestris,Unproven,
Tryptophan,,Unproven
Valerian,,Unproven
